samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
000-04,"<p>46. The woman Ca&ntilde;culā became highly delighted on seeing Śaṅkara. In her flutter of delight she bowed again and again to Him.</p>",,
000-04,"<p>47. She joined her palms in reverence with great pleasure, love and humility. In her great delight she shed tears of joy and had feelings of horripilation.</p>",,
000-04,"<p>48. With sympathy she was allowed to approach Pārvatī and Śaṅkara who gracefully looked at her.</p>",,
000-04,"<p>49. Ca&ntilde;culā, the beloved wife of Binduga, thus attained a divine form and was blessed with divine pleasures and made a chaperon by Pārvatī.</p>",,
000-04,"<p>50. In that permanent abode of excellent bliss and sublime lustre she acquired a permanent residence and unobstructed pleasure.</p>",,
000-05,"<h1>Chapter 5 - Binduga&rsquo;s salvation</h1>",,
000-05,"<h2><em>Śaunaka said</em>:&mdash;</h2>",,
000-05,"<p>1-2. O Sūta, the fortunate Sūta, thou art blessed with thy mind engrossed in Śiva. The story that thou hast narrated to us is wonderful and conducive to the increase of devotion. What did the woman Ca&ntilde;culā do after obtaining her salvation? O intelligent one, please tell me in detail the story of her husband too.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>3. Once she approached goddess Umā Pārvatī.<sup>[1]</sup> She bowed and offered prayers to her with palms joined in her flutter of delight.</p>",,
000-05,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-05,"<p>4. O mother of Skanda, daughter of mountain, Thou art always served by men. O beloved of Śiva, the bestower of all pleasures, having the form of Supreme Brahman,</p>",,
000-05,"<p>5. Thou art worthy of being served by Viṣṇu, Brahmā and others. Thou art both endowed with and devoid of attributes. Thou art the subtle primordial Prakṛti, with Existence, Knowledge and Bliss for thy forms.</p>",,
000-05,"<p>6. Thou createst, maintainest and annihilatest. Thou hast the three Guṇas. Thou art the refuge of the three types of divine beings. Thou sustainest Brahmā, Viṣṇu and Maheśa.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>7. Offering thus her prayers to the Goddess, Ca&ntilde;culā who had attained salvation ceased to talk with shoulders stooping and eyes brimming with tears of love.</p>",,
000-05,"<p>8. Pārvatī, the beloved of Śiva, ever favouring her devotees, was greatly moved by pity and said to Ca&ntilde;culā lovingly.</p>",,
000-05,"<h2><em>Pārvatī said</em>:&mdash;</h2>",,
000-05,"<p>9. O Ca&ntilde;culā, my friend, I am pleased to hear your prayer. O beautiful woman, what is the boon you crave from me? Tell me. There is nothing that I cannot give you.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>10. Thus urged by Girijā, Ca&ntilde;culā bowed to her. She asked her, bending her head and joining her palms together with great devotion.</p>",,
000-05,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-05,"<p>11. O Celestial Girijā, I do not know where my husband is at present, nor where he is to go. O benignant favourite of the distressed, please make such arrangements as would enable me to join him.</p>",,
000-05,"<p>12. O great goddess Maheśānī, my husband had a Śūdra woman as his concubine. He died before me. I do not know what befell that sinner.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>13. On hearing these words of Ca&ntilde;culā Pārvatī, the daughter of Himālaya, who is fond of justice, replied lovingly.</p>",,
000-05,"<h2><em>Girijā said</em>:&mdash;</h2>",,
000-05,"<p>14. O daughter, your wicked sinful husband Binduga, the foolish wretch enamoured of prostitutes has been to hell after his death.</p>",,
000-05,"<p>15. He underwent the various tortures of hell for many years and has now become a Piśāca due to the residue of sins, in the Vindhya mountains.</p>",,
000-05,"<p>16. Even now that wicked fellow is undergoing various painful tortures. He, in the form of a Piśāca, has only wind for his diet and is suffering from all sorts of miseries.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>17. On hearing these words of Gaurī, Ca&ntilde;culā of auspicious rites was overwhelmed by the pain at the news of her husband&rsquo;s distress.</p>",,
000-05,"<p>18. She somehow steadied her mind, bowed to Maheśvari and with a worried heart asked the goddess.</p>",,
000-05,"<h2><em>Ca&ntilde;culā said</em>:&mdash;</h2>",,
000-05,"<p>19. O Maheśvarī, O great goddess, be kind to me. Please redeem my husband, a wicked perpetrator of evil actions though he be.</p>",,
000-05,"<p>20. What is the means by which my husband, the sinful wretch of crooked intellect, can attain salvation. O goddess, obeisance to Thee. Please explain to me.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>21. On hearing these words of the woman, Pārvatī, favourably disposed to her devotees, replied to her chaperon Ca&ntilde;culā, delighted in her heart.</p>",,
000-05,"<h2><em>Pārvatī said</em>:&mdash;</h2>",,
000-05,"<p>22. If your husband were to hear the holy story of Śiva, he shall surmount the misery entirely and attain salvation.</p>",,
000-05,"<p>23. On hearing these words of Gaurī, little short of nectar, she bent her shoulders, joined her palms and bowed repeatedly with great devotion.</p>",,
000-05,"<p>24. She requested the goddess to provide an opportunity for her husband to hear the story for quelling his sins and gaining redemption.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>25. Gaurī, the beloved of Śiva, on being frequently requested by the woman, took pity on her, (making it clear thereby that) she was favourably disposed to her devotees.</p>",,
000-05,"<p>26. Lovingly she sent for the Gandharva king Tumburu who used to sing songs of praise of Śiva. The daughter of Himalaya said thus to him.</p>",,
000-05,"<h2><em>Girijā said</em>:&mdash;</h2>",,
000-05,"<p>27. O Tumburu, the favourite of Śiva, ever ready to do as I wish, blessedness be thine. Accompany this lady immediately to Vindhya mountain.</p>",,
000-05,"<p>28. There is an awfully terrible Piśāca there. I shall tell you all his antecedents. You will be interested to know the same.</p>",,
000-05,"<p>29. This Piśāca had been a brahmin in his previous birth. Then he was the husband of this woman who is my chaperon now. He was very wicked and had a Sudra concubine.</p>",,
000-05,"<p>30. He was impure, never caring for the daily performance of ablutions and Sandhyā prayers. His mind was ever vitiated by anger. He ate all sorts of foul things. He quarrelled with good men and whatever he undertook had been bad.</p>",,
000-05,"<p>31. He was violent in his ways, bearing weapons and oppressing poor people cruelly. He used to take food with his left hand. He used to commit arson in other people&rsquo;s house.</p>",,
000-05,"<p>32. He was friendly with Cāṇḍālas. Every day he took delight in the company of prostitutes forsaking his own wife. The roguish sinner took delight in associating with the wicked.</p>",,
000-05,"<p>33. In evil association with harlots he destroyed all his merits. Besides, coveting more and more wealth, he made his own wife a fearless sharer of her paramours&rsquo; beds.</p>",,
000-05,"<p>34. His evil ways continued till the last moments of his life and when he died he went to Yama&rsquo;s city, the terrible place where sinners reap the fruits of their misdeeds.</p>",,
000-05,"<p>35. After undergoing the tortures of many hells, the wicked wretch is now roaming in the Vindhya mountain as a roguish sinful Piśāca.</p>",,
000-05,"<p>36. Narrate the holy sanctifying tale of sacred Śivapurāṇa, that quells all sins, in front of him.</p>",,
000-05,"<p>37. Immediately after hearing the great story of Śivapurāṇa his soul will be cleared of sins and he will cast off his ghosthood.</p>",,
000-05,"<p>38. I order you to set that Binduga free from the miserable plight of Piśāca and bring him in the aerial chariot in the presence of lord Śiva.</p>",,
000-05,"<h2><em>Sūta said</em>:&mdash;</h2>",,
000-05,"<p>39. Commanded thus by Pārvatī, Tumburu, the lord of Gandharvas, was much delighted and thought within himself how fortunate he was.</p>",,
000-05,"<p>40-41. Tumburu, the comrade of Nārada, went to the Vindhya mountain seated in the aerial chariot in the company of Ca&ntilde;culā, the sinless woman and saw the Piśāca laughing, crying and loudly shouting by turns. His body was very huge, his jaws were immensely large and his form was very crooked.</p>",,
000-05,"<p>42. The powerful Tumburu, the singer of the excellent songs of praise of Śiva, forcefully caught hold of the terrible Piśāca by means of nooses.</p>",,
000-05,"<p>43. Thereafter, for the sake of the discourse on Śivapurāṇa, Tumburu made elaborate festive arrangements.</p>",,
000-05,"<p>44-45. There was much talk and discussion among the people of all the worlds &ldquo;Oh, Tumburu has gone to the Vindhya<sup>[2]</sup> mountain at the suggestion of Goddess, to narrate the story of Śivapurāṇa to redeem the Piśāca.&rdquo; The divine sages too hastened to the place for listening to the same.</p>",,
000-05,"<p>46. The wonderful congregation of those who assembled there, reverently eager to listen to Śivapurāṇa, was very auspicious.</p>",,
000-05,"<p>47. They bound the Piśāca with nooses and compelled him to sit there. With the lute in his hands, Tumburu began to sing the story of Gaurī&rsquo;s consort.</p>",,
000-05,"<p>48. Starting with the first Saṃhitā (compendium) and ending with the seventh one he clearly expounded the whole of Śivapurāṇa along with its Māhātmya (greatness).</p>",,
000-05,"<p>49. On hearing the Śivapurāṇa consisting of seven compendiums with great reverence all the listeners deemed themselves highly blessed.</p>",,
000-05,"<p>50. The Piśāca too, on hearing the holy Śivapurāṇa, cast-off all his sins and discarded his ghostly body.</p>",,
000-05,"<p>51. He assumed the divine form of the three-eyed moon-crested God (Śiva), white in complexion, clad in white cloth, with the body illuminated and embellished by all ornaments.</p>",,
000-05,"<p>52. Taking up the divine body, the glorious Binduga accompanied by his wife sang the story of Pārvatī&rsquo;s consort.</p>",,
000-05,"<p>53. On seeing his wife thus, all the divine sages had a welcome surprise and were highly delighted in their minds.</p>",,
000-05,"<p>54. Gratified on hearing the wonderful story of Śiva they returned to their respective abodes delightedly glorifying Śiva.</p>",,
000-05,"<p>55. Binduga in his divine form ascended the aerial chariot with great pleasure. High up in the sky, with his wife at his side he shone brilliantly.</p>",,
000-05,"<p>56. Singing the pleasing attributes of Śiva he hastened to Śiva&rsquo;s region accompanied by Tumburu and his own wife.</p>",,
000-05,"<p>57. Binduga was welcomed by Śiva and Pārvatī and was lovingly made their attendant. His wife became the chaperon of Girijā.</p>",,
